name,lat,lon,plt_id,max_age,pygp_pts,pygp_feature
8300d2fffffffff,81.61313352629287,96.01672637244958,417,55.0,"(-0.0152885, 0.145053, 0.989306)",<pygplates.pygplates.Feature object at 0x7f0ef561d430>
8300d4fffffffff,82.15947976403709,82.68508792134587,417,55.0,"(0.0173689, 0.135306, 0.990652)",<pygplates.pygplates.Feature object at 0x7f0ef561d4a0>
8300d6fffffffff,81.3855258742848,88.50967304027503,417,55.0,"(0.00389564, 0.149734, 0.988719)",<pygplates.pygplates.Feature object at 0x7f0ef561d510>
8300e6fffffffff,82.93358665373026,52.08814669630566,350,55.0,"(0.0755893, 0.0970573, 0.992404)",<pygplates.pygplates.Feature object at 0x7f0ef561d580>
8300f0fffffffff,82.243594890282,68.48415940696836,350,55.0,"(0.0494983, 0.125557, 0.990851)",<pygplates.pygplates.Feature object at 0x7f0ef561d5f0>
8300f2fffffffff,81.68959108960541,75.47017601163878,417,55.0,"(0.0362617, 0.139913, 0.9895)",<pygplates.pygplates.Feature object at 0x7f0ef561d660>
8300f4fffffffff,81.55722369968676,62.3874955242722,350,550.0,"(0.0680502, 0.130099, 0.989163)",<pygplates.pygplates.Feature object at 0x7f0ef561d6d0>
8300f5fffffffff,82.66483926667979,60.63267786569678,350,55.0,"(0.0626118, 0.111266, 0.991816)",<pygplates.pygplates.Feature object at 0x7f0ef561d740>
8300f6fffffffff,81.11053374878081,69.16554042620439,417,420.0,"(0.0549611, 0.144424, 0.987988)",<pygplates.pygplates.Feature object at 0x7f0ef561d7b0>
830100fffffffff,72.68049153144916,28.643188666861487,350,550.0,"(0.261268, 0.142704, 0.954659)",<pygplates.pygplates.Feature object at 0x7f0ef561d820>
830101fffffffff,73.39550207797394,26.044876889328407,350,550.0,"(0.256744, 0.125472, 0.9583)",<pygplates.pygplates.Feature object at 0x7f0ef561d890>
830102fffffffff,72.83143866450263,31.974102376669904,350,550.0,"(0.250401, 0.15631, 0.95544)",<pygplates.pygplates.Feature object at 0x7f0ef561d900>
830103fffffffff,73.59290236682939,29.487095369777382,350,550.0,"(0.245872, 0.139035, 0.959279)",<pygplates.pygplates.Feature object at 0x7f0ef561d970>
830104fffffffff,71.77980501443477,27.893221292316774,350,550.0,"(0.276344, 0.146275, 0.949862)",<pygplates.pygplates.Feature object at 0x7f0ef561d9e0>
830105fffffffff,72.47821905850942,25.415510499571305,350,550.0,"(0.271931, 0.129212, 0.953603)",<pygplates.pygplates.Feature object at 0x7f0ef561da50>
830106fffffffff,71.93815313266728,31.026703445472197,350,550.0,"(0.265685, 0.159808, 0.950722)",<pygplates.pygplates.Feature object at 0x7f0ef561dac0>
830108fffffffff,75.02372001089857,23.76277545422914,311,400.0,"(0.236511, 0.10413, 0.966033)",<pygplates.pygplates.Feature object at 0x7f0ef561db30>
830109fffffffff,75.6811135756568,20.48078858185488,311,400.0,"(0.231685, 0.0865351, 0.968934)",<pygplates.pygplates.Feature object at 0x7f0ef561dba0>
83010afffffffff,75.26765090495445,27.571236096033992,311,400.0,"(0.225424, 0.117705, 0.967124)",<pygplates.pygplates.Feature object at 0x7f0ef561dc10>
83010bfffffffff,75.9824696861704,24.394410849646704,311,400.0,"(0.220594, 0.10004, 0.970222)",<pygplates.pygplates.Feature object at 0x7f0ef561dc80>
83010cfffffffff,74.07814014787225,23.21360256015306,311,400.0,"(0.252117, 0.108128, 0.961637)",<pygplates.pygplates.Feature object at 0x7f0ef561dcf0>
83010dfffffffff,74.72280984792134,20.13237574094049,311,400.0,"(0.24739, 0.0906904, 0.964662)",<pygplates.pygplates.Feature object at 0x7f0ef561dd60>
83010efffffffff,74.32554121167021,26.75762714536951,311,400.0,"(0.241241, 0.121636, 0.962812)",<pygplates.pygplates.Feature object at 0x7f0ef561ddd0>
830110fffffffff,72.10098090811185,37.51948960105282,350,550.0,"(0.243766, 0.18718, 0.9516)",<pygplates.pygplates.Feature object at 0x7f0ef561de40>
830111fffffffff,72.92768979149791,35.38981199492519,350,550.0,"(0.239334, 0.170022, 0.955935)",<pygplates.pygplates.Feature object at 0x7f0ef561deb0>
830112fffffffff,72.1004640115754,40.84100743837759,350,550.0,"(0.232518, 0.200995, 0.951597)",<pygplates.pygplates.Feature object at 0x7f0ef561df20>
830113fffffffff,72.96637649322325,38.86854570737162,350,550.0,"(0.228074, 0.183826, 0.956133)",<pygplates.pygplates.Feature object at 0x7f0ef561df90>
830114fffffffff,71.24134284049572,36.310544791153596,350,550.0,"(0.259137, 0.190429, 0.946882)",<pygplates.pygplates.Feature object at 0x7f0ef561c040>
830115fffffffff,72.04612755131227,34.24136578438894,350,550.0,"(0.254823, 0.173447, 0.951305)",<pygplates.pygplates.Feature object at 0x7f0ef561c0b0>
830116fffffffff,71.25834904543176,39.45345479140219,350,550.0,"(0.24809, 0.204171, 0.946977)",<pygplates.pygplates.Feature object at 0x7f0ef561c120>
830118fffffffff,74.6455595616163,34.24722004906435,350,550.0,"(0.218879, 0.149014, 0.964306)",<pygplates.pygplates.Feature object at 0x7f0ef561c190>
830119fffffffff,75.44917177856918,31.535243373307736,311,400.0,"(0.214135, 0.131404, 0.967925)",<pygplates.pygplates.Feature object at 0x7f0ef561c200>
83011afffffffff,74.70989334982123,38.14020091949849,350,550.0,"(0.207406, 0.162862, 0.964603)",<pygplates.pygplates.Feature object at 0x7f0ef561c270>
83011bfffffffff,75.5634215217549,35.62453637308431,311,400.0,"(0.202651, 0.145215, 0.968424)",<pygplates.pygplates.Feature object at 0x7f0ef561c2e0>
83011cfffffffff,73.73434358378316,33.04000180441996,350,550.0,"(0.234798, 0.152713, 0.959973)",<pygplates.pygplates.Feature object at 0x7f0ef561c350>
83011dfffffffff,74.5161669354655,30.44332472540402,311,400.0,"(0.23016, 0.135268, 0.963706)",<pygplates.pygplates.Feature object at 0x7f0ef561c3c0>
83011efffffffff,73.81622334235952,36.6805560590798,350,550.0,"(0.223527, 0.166494, 0.960373)",<pygplates.pygplates.Feature object at 0x7f0ef561c430>
830120fffffffff,70.68393320247543,24.354966985767334,302,550.0,"(0.301342, 0.136409, 0.943708)",<pygplates.pygplates.Feature object at 0x7f0ef561c4a0>
830121fffffffff,71.32484084504283,21.92640975596788,350,550.0,"(0.29704, 0.119568, 0.947349)",<pygplates.pygplates.Feature object at 0x7f0ef561c510>
